content,small_content,地点,类别,人数,+？
"截至1月26日12时，山东省累计报告新型冠状病毒感染的肺炎确诊病例46例，其中：济南市5例、青岛市8例、淄博市1例、烟台市2例、潍坊市2例、济宁市5例、威海市4例、日照市4例、临沂市7例、德州市3例、聊城市1例、滨州市3例、菏泽市1例。""
",临沂市7例,临沂市,确诊,7例,累计
"截至1月26日12时，山东省累计报告新型冠状病毒感染的肺炎确诊病例46例，其中：济南市5例、青岛市8例、淄博市1例、烟台市2例、潍坊市2例、济宁市5例、威海市4例、日照市4例、临沂市7例、德州市3例、聊城市1例、滨州市3例、菏泽市1例。""
",德州市3例,德州市,确诊,3例,累计
"截至1月26日12时，山东省累计报告新型冠状病毒感染的肺炎确诊病例46例，其中：济南市5例、青岛市8例、淄博市1例、烟台市2例、潍坊市2例、济宁市5例、威海市4例、日照市4例、临沂市7例、德州市3例、聊城市1例、滨州市3例、菏泽市1例。""
",聊城市1例,聊城市,确诊,1例,累计
"截至1月26日12时，山东省累计报告新型冠状病毒感染的肺炎确诊病例46例，其中：济南市5例、青岛市8例、淄博市1例、烟台市2例、潍坊市2例、济宁市5例、威海市4例、日照市4例、临沂市7例、德州市3例、聊城市1例、滨州市3例、菏泽市1例。""
",滨州市3例,滨州市,确诊,3例,累计
"截至1月26日12时，山东省累计报告新型冠状病毒感染的肺炎确诊病例46例，其中：济南市5例、青岛市8例、淄博市1例、烟台市2例、潍坊市2例、济宁市5例、威海市4例、日照市4例、临沂市7例、德州市3例、聊城市1例、滨州市3例、菏泽市1例。""
",菏泽市1例,菏泽市,确诊,1例,累计
"""2020年1月25日0:00至24:00，襄阳市新增确诊病例7例（其中宜城市3例，老河口市2例，枣阳市2例），新增疑似病例39例（其中襄城区12例，樊城区7例，枣阳市6例，宜城市6例，南漳县3例，襄州区3例，高新区2例）。
",襄阳市新增确诊病例7例,襄阳市,确诊,7例,新增
"""2020年1月25日0:00至24:00，襄阳市新增确诊病例7例（其中宜城市3例，老河口市2例，枣阳市2例），新增疑似病例39例（其中襄城区12例，樊城区7例，枣阳市6例，宜城市6例，南漳县3例，襄州区3例，高新区2例）。
",其中宜城市3例,宜城市,确诊,3例,新增
"""2020年1月25日0:00至24:00，襄阳市新增确诊病例7例（其中宜城市3例，老河口市2例，枣阳市2例），新增疑似病例39例（其中襄城区12例，樊城区7例，枣阳市6例，宜城市6例，南漳县3例，襄州区3例，高新区2例）。
",老河口市2例,老河口市,确诊,2例,新增
"""2020年1月25日0:00至24:00，襄阳市新增确诊病例7例（其中宜城市3例，老河口市2例，枣阳市2例），新增疑似病例39例（其中襄城区12例，樊城区7例，枣阳市6例，宜城市6例，南漳县3例，襄州区3例，高新区2例）。
",枣阳市2例,枣阳市,确诊,2例,新增
"""2020年1月25日0:00至24:00，襄阳市新增确诊病例7例（其中宜城市3例，老河口市2例，枣阳市2例），新增疑似病例39例（其中襄城区12例，樊城区7例，枣阳市6例，宜城市6例，南漳县3例，襄州区3例，高新区2例）。
",新增疑似病例39例,枣阳市,疑似,39例,新增
"""2020年1月25日0:00至24:00，襄阳市新增确诊病例7例（其中宜城市3例，老河口市2例，枣阳市2例），新增疑似病例39例（其中襄城区12例，樊城区7例，枣阳市6例，宜城市6例，南漳县3例，襄州区3例，高新区2例）。
",其中襄城区12例,襄城区,疑似,12例,新增
"""2020年1月25日0:00至24:00，襄阳市新增确诊病例7例（其中宜城市3例，老河口市2例，枣阳市2例），新增疑似病例39例（其中襄城区12例，樊城区7例，枣阳市6例，宜城市6例，南漳县3例，襄州区3例，高新区2例）。
",樊城区7例,樊城区,疑似,7例,新增
"""2020年1月25日0:00至24:00，襄阳市新增确诊病例7例（其中宜城市3例，老河口市2例，枣阳市2例），新增疑似病例39例（其中襄城区12例，樊城区7例，枣阳市6例，宜城市6例，南漳县3例，襄州区3例，高新区2例）。
",枣阳市6例,枣阳市,疑似,6例,新增
"""2020年1月25日0:00至24:00，襄阳市新增确诊病例7例（其中宜城市3例，老河口市2例，枣阳市2例），新增疑似病例39例（其中襄城区12例，樊城区7例，枣阳市6例，宜城市6例，南漳县3例，襄州区3例，高新区2例）。
",宜城市6例,宜城市,疑似,6例,新增
"""2020年1月25日0:00至24:00，襄阳市新增确诊病例7例（其中宜城市3例，老河口市2例，枣阳市2例），新增疑似病例39例（其中襄城区12例，樊城区7例，枣阳市6例，宜城市6例，南漳县3例，襄州区3例，高新区2例）。
",南漳县3例,南漳县,疑似,3例,新增
"""2020年1月25日0:00至24:00，襄阳市新增确诊病例7例（其中宜城市3例，老河口市2例，枣阳市2例），新增疑似病例39例（其中襄城区12例，樊城区7例，枣阳市6例，宜城市6例，南漳县3例，襄州区3例，高新区2例）。
",襄州区3例,襄州区,疑似,3例,新增
"""2020年1月25日0:00至24:00，襄阳市新增确诊病例7例（其中宜城市3例，老河口市2例，枣阳市2例），新增疑似病例39例（其中襄城区12例，樊城区7例，枣阳市6例，宜城市6例，南漳县3例，襄州区3例，高新区2例）。
",高新区2例,新区,疑似,2例,新增
"截至2020年1月25日24:00，全市累计确诊病例8例（宜城市4例，老河口市2例，枣阳市2例），累计疑似病例110例（其中24日5例疑似病例经实验室检测转为确诊病例）（其中襄城区39例，樊城区24例，枣阳市13例，南漳县12例，宜城市9例，谷城县4例，高新区3例，襄州区3例，保康县2例，老河口市1例）。上述人员均在定点医疗机构接受隔离治疗，全市累计追踪密切接触者达到275人，尚在接受医学观察187人。""
",全市累计确诊病例8例,全市,确诊,8例,累计
"截至2020年1月25日24:00，全市累计确诊病例8例（宜城市4例，老河口市2例，枣阳市2例），累计疑似病例110例（其中24日5例疑似病例经实验室检测转为确诊病例）（其中襄城区39例，樊城区24例，枣阳市13例，南漳县12例，宜城市9例，谷城县4例，高新区3例，襄州区3例，保康县2例，老河口市1例）。上述人员均在定点医疗机构接受隔离治疗，全市累计追踪密切接触者达到275人，尚在接受医学观察187人。""
",宜城市4例,宜城市,确诊,4例,累计
"截至2020年1月25日24:00，全市累计确诊病例8例（宜城市4例，老河口市2例，枣阳市2例），累计疑似病例110例（其中24日5例疑似病例经实验室检测转为确诊病例）（其中襄城区39例，樊城区24例，枣阳市13例，南漳县12例，宜城市9例，谷城县4例，高新区3例，襄州区3例，保康县2例，老河口市1例）。上述人员均在定点医疗机构接受隔离治疗，全市累计追踪密切接触者达到275人，尚在接受医学观察187人。""
",老河口市2例,老河口市,确诊,2例,累计
"截至2020年1月25日24:00，全市累计确诊病例8例（宜城市4例，老河口市2例，枣阳市2例），累计疑似病例110例（其中24日5例疑似病例经实验室检测转为确诊病例）（其中襄城区39例，樊城区24例，枣阳市13例，南漳县12例，宜城市9例，谷城县4例，高新区3例，襄州区3例，保康县2例，老河口市1例）。上述人员均在定点医疗机构接受隔离治疗，全市累计追踪密切接触者达到275人，尚在接受医学观察187人。""
",枣阳市2例,枣阳市,确诊,2例,累计
"截至2020年1月25日24:00，全市累计确诊病例8例（宜城市4例，老河口市2例，枣阳市2例），累计疑似病例110例（其中24日5例疑似病例经实验室检测转为确诊病例）（其中襄城区39例，樊城区24例，枣阳市13例，南漳县12例，宜城市9例，谷城县4例，高新区3例，襄州区3例，保康县2例，老河口市1例）。上述人员均在定点医疗机构接受隔离治疗，全市累计追踪密切接触者达到275人，尚在接受医学观察187人。""
",累计疑似病例110例,枣阳市,疑似,110例,累计
"截至2020年1月25日24:00，全市累计确诊病例8例（宜城市4例，老河口市2例，枣阳市2例），累计疑似病例110例（其中24日5例疑似病例经实验室检测转为确诊病例）（其中襄城区39例，樊城区24例，枣阳市13例，南漳县12例，宜城市9例，谷城县4例，高新区3例，襄州区3例，保康县2例，老河口市1例）。上述人员均在定点医疗机构接受隔离治疗，全市累计追踪密切接触者达到275人，尚在接受医学观察187人。""
",其中24日5例疑似病例经实验室检测转为确诊病例,枣阳市,疑似,5例,累计
"截至2020年1月25日24:00，全市累计确诊病例8例（宜城市4例，老河口市2例，枣阳市2例），累计疑似病例110例（其中24日5例疑似病例经实验室检测转为确诊病例）（其中襄城区39例，樊城区24例，枣阳市13例，南漳县12例，宜城市9例，谷城县4例，高新区3例，襄州区3例，保康县2例，老河口市1例）。上述人员均在定点医疗机构接受隔离治疗，全市累计追踪密切接触者达到275人，尚在接受医学观察187人。""
",其中襄城区39例,襄城区,确诊,39例,累计
"截至2020年1月25日24:00，全市累计确诊病例8例（宜城市4例，老河口市2例，枣阳市2例），累计疑似病例110例（其中24日5例疑似病例经实验室检测转为确诊病例）（其中襄城区39例，樊城区24例，枣阳市13例，南漳县12例，宜城市9例，谷城县4例，高新区3例，襄州区3例，保康县2例，老河口市1例）。上述人员均在定点医疗机构接受隔离治疗，全市累计追踪密切接触者达到275人，尚在接受医学观察187人。""
",樊城区24例,樊城区,确诊,24例,累计
"截至2020年1月25日24:00，全市累计确诊病例8例（宜城市4例，老河口市2例，枣阳市2例），累计疑似病例110例（其中24日5例疑似病例经实验室检测转为确诊病例）（其中襄城区39例，樊城区24例，枣阳市13例，南漳县12例，宜城市9例，谷城县4例，高新区3例，襄州区3例，保康县2例，老河口市1例）。上述人员均在定点医疗机构接受隔离治疗，全市累计追踪密切接触者达到275人，尚在接受医学观察187人。""
",枣阳市13例,枣阳市,确诊,13例,累计
"截至2020年1月25日24:00，全市累计确诊病例8例（宜城市4例，老河口市2例，枣阳市2例），累计疑似病例110例（其中24日5例疑似病例经实验室检测转为确诊病例）（其中襄城区39例，樊城区24例，枣阳市13例，南漳县12例，宜城市9例，谷城县4例，高新区3例，襄州区3例，保康县2例，老河口市1例）。上述人员均在定点医疗机构接受隔离治疗，全市累计追踪密切接触者达到275人，尚在接受医学观察187人。""
",南漳县12例,南漳县,确诊,12例,累计
"截至2020年1月25日24:00，全市累计确诊病例8例（宜城市4例，老河口市2例，枣阳市2例），累计疑似病例110例（其中24日5例疑似病例经实验室检测转为确诊病例）（其中襄城区39例，樊城区24例，枣阳市13例，南漳县12例，宜城市9例，谷城县4例，高新区3例，襄州区3例，保康县2例，老河口市1例）。上述人员均在定点医疗机构接受隔离治疗，全市累计追踪密切接触者达到275人，尚在接受医学观察187人。""
",宜城市9例,宜城市,确诊,9例,累计
"截至2020年1月25日24:00，全市累计确诊病例8例（宜城市4例，老河口市2例，枣阳市2例），累计疑似病例110例（其中24日5例疑似病例经实验室检测转为确诊病例）（其中襄城区39例，樊城区24例，枣阳市13例，南漳县12例，宜城市9例，谷城县4例，高新区3例，襄州区3例，保康县2例，老河口市1例）。上述人员均在定点医疗机构接受隔离治疗，全市累计追踪密切接触者达到275人，尚在接受医学观察187人。""
",谷城县4例,谷城县,确诊,4例,累计
"截至2020年1月25日24:00，全市累计确诊病例8例（宜城市4例，老河口市2例，枣阳市2例），累计疑似病例110例（其中24日5例疑似病例经实验室检测转为确诊病例）（其中襄城区39例，樊城区24例，枣阳市13例，南漳县12例，宜城市9例，谷城县4例，高新区3例，襄州区3例，保康县2例，老河口市1例）。上述人员均在定点医疗机构接受隔离治疗，全市累计追踪密切接触者达到275人，尚在接受医学观察187人。""
",高新区3例,新区,确诊,3例,累计
"截至2020年1月25日24:00，全市累计确诊病例8例（宜城市4例，老河口市2例，枣阳市2例），累计疑似病例110例（其中24日5例疑似病例经实验室检测转为确诊病例）（其中襄城区39例，樊城区24例，枣阳市13例，南漳县12例，宜城市9例，谷城县4例，高新区3例，襄州区3例，保康县2例，老河口市1例）。上述人员均在定点医疗机构接受隔离治疗，全市累计追踪密切接触者达到275人，尚在接受医学观察187人。""
",襄州区3例,襄州区,确诊,3例,累计
"截至2020年1月25日24:00，全市累计确诊病例8例（宜城市4例，老河口市2例，枣阳市2例），累计疑似病例110例（其中24日5例疑似病例经实验室检测转为确诊病例）（其中襄城区39例，樊城区24例，枣阳市13例，南漳县12例，宜城市9例，谷城县4例，高新区3例，襄州区3例，保康县2例，老河口市1例）。上述人员均在定点医疗机构接受隔离治疗，全市累计追踪密切接触者达到275人，尚在接受医学观察187人。""
",保康县2例,保康县,确诊,2例,累计
"截至2020年1月25日24:00，全市累计确诊病例8例（宜城市4例，老河口市2例，枣阳市2例），累计疑似病例110例（其中24日5例疑似病例经实验室检测转为确诊病例）（其中襄城区39例，樊城区24例，枣阳市13例，南漳县12例，宜城市9例，谷城县4例，高新区3例，襄州区3例，保康县2例，老河口市1例）。上述人员均在定点医疗机构接受隔离治疗，全市累计追踪密切接触者达到275人，尚在接受医学观察187人。""
",老河口市1例,老河口市,确诊,1例,累计
"截至2020年1月25日24:00，全市累计确诊病例8例（宜城市4例，老河口市2例，枣阳市2例），累计疑似病例110例（其中24日5例疑似病例经实验室检测转为确诊病例）（其中襄城区39例，樊城区24例，枣阳市13例，南漳县12例，宜城市9例，谷城县4例，高新区3例，襄州区3例，保康县2例，老河口市1例）。上述人员均在定点医疗机构接受隔离治疗，全市累计追踪密切接触者达到275人，尚在接受医学观察187人。""
",全市累计追踪密切接触者达到275人,全市,确诊,275人,累计
"截至2020年1月25日24:00，全市累计确诊病例8例（宜城市4例，老河口市2例，枣阳市2例），累计疑似病例110例（其中24日5例疑似病例经实验室检测转为确诊病例）（其中襄城区39例，樊城区24例，枣阳市13例，南漳县12例，宜城市9例，谷城县4例，高新区3例，襄州区3例，保康县2例，老河口市1例）。上述人员均在定点医疗机构接受隔离治疗，全市累计追踪密切接触者达到275人，尚在接受医学观察187人。""
",尚在接受医学观察187人,全市,确诊,187人,累计
"从1月25日23时至26日8时，北京新增3例新型冠状病毒感染的肺炎病例，均为北京此前一例有湖北接触史的确诊病人的直系亲属，目前均已送至定点医疗机构进行救治。从1月25日23时至26日8时，本市累计确诊病例54例，其中东城区1例、西城区5例、朝阳区8例、海淀区13例、丰台区3例、石景山区1例、通州区4例、顺义区1例、大兴区2例、昌平区5例，外地来京人员11例。
",北京新增3例新型冠状病毒感染的肺炎病例,北京,确诊,3例,新增
"从1月25日23时至26日8时，北京新增3例新型冠状病毒感染的肺炎病例，均为北京此前一例有湖北接触史的确诊病人的直系亲属，目前均已送至定点医疗机构进行救治。从1月25日23时至26日8时，本市累计确诊病例54例，其中东城区1例、西城区5例、朝阳区8例、海淀区13例、丰台区3例、石景山区1例、通州区4例、顺义区1例、大兴区2例、昌平区5例，外地来京人员11例。
",本市累计确诊病例54例,本市,确诊,54例,累计
"从1月25日23时至26日8时，北京新增3例新型冠状病毒感染的肺炎病例，均为北京此前一例有湖北接触史的确诊病人的直系亲属，目前均已送至定点医疗机构进行救治。从1月25日23时至26日8时，本市累计确诊病例54例，其中东城区1例、西城区5例、朝阳区8例、海淀区13例、丰台区3例、石景山区1例、通州区4例、顺义区1例、大兴区2例、昌平区5例，外地来京人员11例。
",其中东城区1例,东城区,确诊,1例,累计
"从1月25日23时至26日8时，北京新增3例新型冠状病毒感染的肺炎病例，均为北京此前一例有湖北接触史的确诊病人的直系亲属，目前均已送至定点医疗机构进行救治。从1月25日23时至26日8时，本市累计确诊病例54例，其中东城区1例、西城区5例、朝阳区8例、海淀区13例、丰台区3例、石景山区1例、通州区4例、顺义区1例、大兴区2例、昌平区5例，外地来京人员11例。
",西城区5例,西城区,确诊,5例,累计
"从1月25日23时至26日8时，北京新增3例新型冠状病毒感染的肺炎病例，均为北京此前一例有湖北接触史的确诊病人的直系亲属，目前均已送至定点医疗机构进行救治。从1月25日23时至26日8时，本市累计确诊病例54例，其中东城区1例、西城区5例、朝阳区8例、海淀区13例、丰台区3例、石景山区1例、通州区4例、顺义区1例、大兴区2例、昌平区5例，外地来京人员11例。
",朝阳区8例,朝阳区,确诊,8例,累计
"从1月25日23时至26日8时，北京新增3例新型冠状病毒感染的肺炎病例，均为北京此前一例有湖北接触史的确诊病人的直系亲属，目前均已送至定点医疗机构进行救治。从1月25日23时至26日8时，本市累计确诊病例54例，其中东城区1例、西城区5例、朝阳区8例、海淀区13例、丰台区3例、石景山区1例、通州区4例、顺义区1例、大兴区2例、昌平区5例，外地来京人员11例。
",海淀区13例,海淀区,确诊,13例,累计
"从1月25日23时至26日8时，北京新增3例新型冠状病毒感染的肺炎病例，均为北京此前一例有湖北接触史的确诊病人的直系亲属，目前均已送至定点医疗机构进行救治。从1月25日23时至26日8时，本市累计确诊病例54例，其中东城区1例、西城区5例、朝阳区8例、海淀区13例、丰台区3例、石景山区1例、通州区4例、顺义区1例、大兴区2例、昌平区5例，外地来京人员11例。
",丰台区3例,丰台区,确诊,3例,累计
"从1月25日23时至26日8时，北京新增3例新型冠状病毒感染的肺炎病例，均为北京此前一例有湖北接触史的确诊病人的直系亲属，目前均已送至定点医疗机构进行救治。从1月25日23时至26日8时，本市累计确诊病例54例，其中东城区1例、西城区5例、朝阳区8例、海淀区13例、丰台区3例、石景山区1例、通州区4例、顺义区1例、大兴区2例、昌平区5例，外地来京人员11例。
",石景山区1例,石景山区,确诊,1例,累计
"从1月25日23时至26日8时，北京新增3例新型冠状病毒感染的肺炎病例，均为北京此前一例有湖北接触史的确诊病人的直系亲属，目前均已送至定点医疗机构进行救治。从1月25日23时至26日8时，本市累计确诊病例54例，其中东城区1例、西城区5例、朝阳区8例、海淀区13例、丰台区3例、石景山区1例、通州区4例、顺义区1例、大兴区2例、昌平区5例，外地来京人员11例。
",通州区4例,通州区,确诊,4例,累计
"从1月25日23时至26日8时，北京新增3例新型冠状病毒感染的肺炎病例，均为北京此前一例有湖北接触史的确诊病人的直系亲属，目前均已送至定点医疗机构进行救治。从1月25日23时至26日8时，本市累计确诊病例54例，其中东城区1例、西城区5例、朝阳区8例、海淀区13例、丰台区3例、石景山区1例、通州区4例、顺义区1例、大兴区2例、昌平区5例，外地来京人员11例。
",顺义区1例,顺义区,确诊,1例,累计
"从1月25日23时至26日8时，北京新增3例新型冠状病毒感染的肺炎病例，均为北京此前一例有湖北接触史的确诊病人的直系亲属，目前均已送至定点医疗机构进行救治。从1月25日23时至26日8时，本市累计确诊病例54例，其中东城区1例、西城区5例、朝阳区8例、海淀区13例、丰台区3例、石景山区1例、通州区4例、顺义区1例、大兴区2例、昌平区5例，外地来京人员11例。
",大兴区2例,大兴区,确诊,2例,累计
"从1月25日23时至26日8时，北京新增3例新型冠状病毒感染的肺炎病例，均为北京此前一例有湖北接触史的确诊病人的直系亲属，目前均已送至定点医疗机构进行救治。从1月25日23时至26日8时，本市累计确诊病例54例，其中东城区1例、西城区5例、朝阳区8例、海淀区13例、丰台区3例、石景山区1例、通州区4例、顺义区1例、大兴区2例、昌平区5例，外地来京人员11例。
",昌平区5例,昌平区,确诊,5例,累计
"从1月25日23时至26日8时，北京新增3例新型冠状病毒感染的肺炎病例，均为北京此前一例有湖北接触史的确诊病人的直系亲属，目前均已送至定点医疗机构进行救治。从1月25日23时至26日8时，本市累计确诊病例54例，其中东城区1例、西城区5例、朝阳区8例、海淀区13例、丰台区3例、石景山区1例、通州区4例、顺义区1例、大兴区2例、昌平区5例，外地来京人员11例。
",外地来京人员11例,外地,确诊,11例,累计
"记者26日从澳门特区政府新型冠状病毒感染应变协调中心获悉，澳门新增3例输入性新型冠状病毒感染病例，累计增至5例。
",澳门新增3例输入性新型冠状病毒感染病例,澳门,确诊,3例,新增
"记者26日从澳门特区政府新型冠状病毒感染应变协调中心获悉，澳门新增3例输入性新型冠状病毒感染病例，累计增至5例。
",累计增至5例,澳门,确诊,5例,累计
"全省累计报告确诊病例22例】截至1月26日10时，陕西新增7例新型冠状病毒感染的肺炎确诊病例；新增密切接触者94例；全省累计报告确诊病例22例，密切接触者273例，均集中医学观察。
",全省累计报告确诊病例22例】截至1月26日10时,全省,确诊,22例,累计
"全省累计报告确诊病例22例】截至1月26日10时，陕西新增7例新型冠状病毒感染的肺炎确诊病例；新增密切接触者94例；全省累计报告确诊病例22例，密切接触者273例，均集中医学观察。
",陕西新增7例新型冠状病毒感染的肺炎确诊病例,陕西,确诊,7例,新增
"全省累计报告确诊病例22例】截至1月26日10时，陕西新增7例新型冠状病毒感染的肺炎确诊病例；新增密切接触者94例；全省累计报告确诊病例22例，密切接触者273例，均集中医学观察。
",新增密切接触者94例,陕西,确诊,94例,新增
"全省累计报告确诊病例22例】截至1月26日10时，陕西新增7例新型冠状病毒感染的肺炎确诊病例；新增密切接触者94例；全省累计报告确诊病例22例，密切接触者273例，均集中医学观察。
",全省累计报告确诊病例22例,全省,确诊,22例,累计
"全省累计报告确诊病例22例】截至1月26日10时，陕西新增7例新型冠状病毒感染的肺炎确诊病例；新增密切接触者94例；全省累计报告确诊病例22例，密切接触者273例，均集中医学观察。
",密切接触者273例,全省,确诊,273例,累计
"""2020年1月25日17:00-26日7:00，海南省新型冠状病毒感染的肺炎新增确诊病例3例，无重症病例、死亡病例和出院病例。确诊病例中，三亚市2例、澄迈县1例。
",海南省新型冠状病毒感染的肺炎新增确诊病例3例,海南省,确诊,3例,新增
"""2020年1月25日17:00-26日7:00，海南省新型冠状病毒感染的肺炎新增确诊病例3例，无重症病例、死亡病例和出院病例。确诊病例中，三亚市2例、澄迈县1例。
",三亚市2例,三亚市,确诊,2例,新增
"""2020年1月25日17:00-26日7:00，海南省新型冠状病毒感染的肺炎新增确诊病例3例，无重症病例、死亡病例和出院病例。确诊病例中，三亚市2例、澄迈县1例。
",澄迈县1例,澄迈县,确诊,1例,新增
"截至1月26日7:00，海南省累计报告新型冠状病毒感染的肺炎确诊病例22例，其中重症病例1例，无死亡病例和出院病例。
",海南省累计报告新型冠状病毒感染的肺炎确诊病例22例,海南省,确诊,22例,累计
"截至1月26日7:00，海南省累计报告新型冠状病毒感染的肺炎确诊病例22例，其中重症病例1例，无死亡病例和出院病例。
",其中重症病例1例,海南省,重症,1例,累计
"""记者从天津市疾控中心获悉，至1月26日6时，天津新增3例新型冠状病毒感染的肺炎确诊病例，确诊病例增至13例。其中男性8例，女性5例；重症患者7例，轻症6例；无危重病例。
",天津新增3例新型冠状病毒感染的肺炎确诊病例,天津,确诊,3例,新增
"""记者从天津市疾控中心获悉，至1月26日6时，天津新增3例新型冠状病毒感染的肺炎确诊病例，确诊病例增至13例。其中男性8例，女性5例；重症患者7例，轻症6例；无危重病例。
",确诊病例增至13例,天津,确诊,13例,累计
"""记者从天津市疾控中心获悉，至1月26日6时，天津新增3例新型冠状病毒感染的肺炎确诊病例，确诊病例增至13例。其中男性8例，女性5例；重症患者7例，轻症6例；无危重病例。
",其中男性8例,天津,确诊,8例,累计
"""记者从天津市疾控中心获悉，至1月26日6时，天津新增3例新型冠状病毒感染的肺炎确诊病例，确诊病例增至13例。其中男性8例，女性5例；重症患者7例，轻症6例；无危重病例。
",女性5例,天津,确诊,5例,累计
"""记者从天津市疾控中心获悉，至1月26日6时，天津新增3例新型冠状病毒感染的肺炎确诊病例，确诊病例增至13例。其中男性8例，女性5例；重症患者7例，轻症6例；无危重病例。
",重症患者7例,天津,重症,7例,累计
"""记者从天津市疾控中心获悉，至1月26日6时，天津新增3例新型冠状病毒感染的肺炎确诊病例，确诊病例增至13例。其中男性8例，女性5例；重症患者7例，轻症6例；无危重病例。
",轻症6例,天津,重症,6例,累计
"截至1月25日24时，四川省累计报告新型冠状病毒感染的肺炎确诊病例44例，其中成都市22例、绵阳市5例、泸州市2例、遂宁市2例、南充市2例、广安市2例、甘孜州2例、自贡市1例、德阳市1例、内江市1例、乐山市1例、达州市1例、雅安市1例、眉山市1例。
",四川省累计报告新型冠状病毒感染的肺炎确诊病例44例,四川省,确诊,44例,累计
"截至1月25日24时，四川省累计报告新型冠状病毒感染的肺炎确诊病例44例，其中成都市22例、绵阳市5例、泸州市2例、遂宁市2例、南充市2例、广安市2例、甘孜州2例、自贡市1例、德阳市1例、内江市1例、乐山市1例、达州市1例、雅安市1例、眉山市1例。
",其中成都市22例,成都市,确诊,22例,累计
"截至1月25日24时，四川省累计报告新型冠状病毒感染的肺炎确诊病例44例，其中成都市22例、绵阳市5例、泸州市2例、遂宁市2例、南充市2例、广安市2例、甘孜州2例、自贡市1例、德阳市1例、内江市1例、乐山市1例、达州市1例、雅安市1例、眉山市1例。
",绵阳市5例,绵阳市,确诊,5例,累计
